Description,Ticker,Ticker2
Aeon,AEONUSD,AEON
Origin,OGNUSD,OGN
DigixDAO,DGDUSD,DGD
Peercoin,PPCUSD,PPC
Chromia,CHRUSD,CHR
GameCredits,GAMEUSD,GAME
SaTT,SATTUSD,SATT
Universal,UPTUSD,UPT
EQIFI,EQXUSD,EQX
Marlin,PONDUSD,POND
Banker,BNKUSD,BNK
Aryacoin,AYAUSD,AYA
Ubiq,UBQUSD,UBQ
Theta,THETAUSD,THETA
Luna,LUNAUSD,LUNA
BLOCKv,VEEUSD,VEE
OXT,OXTUSD,OXT
MediBloc,MEDUSD,MED
TCT,TCTUSD,TCT
Haven,XHVUSD,XHV
Nebulas,NASUSD,NAS
Patientory,PTOYUSD,PTOY
Whitecoin,XWCUSD,XWC
Kyber,KNCUSD,KNC
Navcoin,NAVUSD,NAV
Everex,EVXUSD,EVX
EOS,EOSUSD,EOS
Tezos,XTZUSD,XTZ
RAD,RADUSD,RAD
HelloGold,HGTUSD,HGT
OCEAN,OCEANUSD,OCEAN
Ocean,OCEANUSD,OCEAN
Ripio,RCNUSD,RCN
RSR,RSRUSD,RSR
BitcoinVault,BTCVUSD,BTCV
AGIX,AGIXUSD,AGIX
Tycoon,TYCUSD,TYC
Raiden,RDNUSD,RDN
Akoin,AKNUSD,AKN
Curecoin,CUREUSD,CURE
Dusk,DUSKUSD,DUSK
Mdex,MDXUSD,MDX
EOS,EOSUSD,EOS
Cosmos,ATOMUSD,ATOM
Celo,CUSDUSD,CUSD
Blockchain,BCUGUSD,BCUG
SKALE,SKLUSD,SKL
SUN,SUNUSD,SUN
Etheroll,DICEUSD,DICE
Agrello,DLTUSD,DLT
Storj,STORJUSD,STORJ
Chiliz,CHZUSD,CHZ
Swipe,SXPUSD,SXP
BitShares,BTSUSD,BTS
BOND,BONDUSD,BOND
VERA,VRAUSD,VRA
Memetic,MEMEUSD,MEME
Ethereum,ETHUSD,ETH
Bifrost,BFCUSD,BFC
DigitalBits,XDBUSD,XDB
SushiSwap,SUSHIUSD,SUSHI
Ripple,XRPUSD,XRP
Braintrust,BTRSTUSD,BTRST
Signum,SIGNAUSD,SIGNA
Faceter,FACEUSD,FACE
Rari,RGTUSD,RGT
Your,YFXUSD,YFX
OAX,OAXUSD,OAX
Sologenic,SOLOUSD,SOLO
Ankr,ANKRUSD,ANKR
CACHE,CGTUSD,CGT
Polygon,MATICUSD,MATIC
BiLira,TRYBUSD,TRYB
ASR,ASRUSD,ASR
The,FORUSD,FOR
KingMoney,KIMUSD,KIM
UTK,UTKUSD,UTK
GRT,GRTUSD,GRT
iExec,RLCUSD,RLC
Raise,RAISEUSD,RAISE
FuzeX,FXTUSD,FXT
KIN,KINUSD,KIN
Maker,MKRUSD,MKR
Ink,INKUSD,INK
Lamden,TAUUSD,TAU
Validity,VALUSD,VAL
Chromia,CHRUSD,CHR
